,id,date,token_count
490,1146083294498500608,2019-07-02 15:48:45+00:00,29
491,1146090888294207488,2019-07-02 16:18:55+00:00,17
492,1146340906410369024,2019-07-03 08:52:24+00:00,16
493,1146739294406631424,2019-07-04 11:15:27+00:00,31
494,1146805679484735488,2019-07-04 15:39:15+00:00,35
495,1147033945109880832,2019-07-05 06:46:18+00:00,23
496,1147052817754087424,2019-07-05 08:01:17+00:00,28
497,1147088089719984128,2019-07-05 10:21:27+00:00,34
498,1147471468651065344,2019-07-06 11:44:51+00:00,34
499,1148140456582275072,2019-07-08 08:03:10+00:00,32
500,1148169142022881280,2019-07-08 09:57:10+00:00,34
501,1148215406424969216,2019-07-08 13:01:00+00:00,37
502,1148469569456971776,2019-07-09 05:50:57+00:00,31
503,1148540884939628544,2019-07-09 10:34:20+00:00,42
504,1148615646609063936,2019-07-09 15:31:25+00:00,24
505,1148925396907413504,2019-07-10 12:02:15+00:00,25
506,1148940123138080768,2019-07-10 13:00:46+00:00,41
507,1148986064129974272,2019-07-10 16:03:19+00:00,30
508,1148987771589185536,2019-07-10 16:10:06+00:00,28
509,1149017444536770560,2019-07-10 18:08:01+00:00,14
510,1149213437735649280,2019-07-11 07:06:49+00:00,32
511,1149227165680119808,2019-07-11 08:01:22+00:00,31
512,1149230342123020288,2019-07-11 08:13:59+00:00,37
513,1149264006907125760,2019-07-11 10:27:46+00:00,23
514,1149580416912769024,2019-07-12 07:25:04+00:00,33
515,1149611306640478208,2019-07-12 09:27:48+00:00,22
516,1149650012600590336,2019-07-12 12:01:37+00:00,44
517,1149684807435259904,2019-07-12 14:19:52+00:00,32
518,1149695236982972416,2019-07-12 15:01:19+00:00,25
519,1149736004074520576,2019-07-12 17:43:19+00:00,18
520,1149983804997677056,2019-07-13 10:07:59+00:00,30
521,1149989259241299968,2019-07-13 10:29:39+00:00,39
522,1150067633649344512,2019-07-13 15:41:05+00:00,23
523,1150285718603927552,2019-07-14 06:07:41+00:00,37
524,1150309076074676224,2019-07-14 07:40:30+00:00,13
525,1150363355628093440,2019-07-14 11:16:11+00:00,31
526,1150434473764425728,2019-07-14 15:58:47+00:00,16
527,1150492539734114304,2019-07-14 19:49:31+00:00,24
528,1150763612010627072,2019-07-15 13:46:39+00:00,36
529,1150995510251196416,2019-07-16 05:08:08+00:00,33
530,1151033578630930432,2019-07-16 07:39:24+00:00,32
