,channel_id,date,text,text_tokenised,token_count
123,1326276537,2023-10-13,"Übergangsgelder von Ministern und Staatssekretären drastisch reduzieren! Bislang erhalten Minister und Staatssekretäre nach dem Ausscheiden aus ihrem Amt Übergangsgelder, von denen normale Bürger und selbst Führungskräfte in der Wirtschaft nur träumen können. Wie diese Ungerechtigkeit beendet werden kann, erklärt Dennis Hohloch.",Übergangsgelder von Ministern und Staatssekretären drastisch reduzieren  Bislang erhalten Minister und Staatssekretäre nach dem Ausscheiden aus ihrem Amt Übergangsgelder  von denen normale Bürger und selbst Führungskräfte in der Wirtschaft nur träumen können  Wie diese Ungerechtigkeit beendet werden kann  erklärt Dennis Hohloch,41
124,1326276537,2023-10-11,"Den Wald vor den Grünen retten! | Die BLAUE Runde, Ausgabe 84 Alte Kasernengelände, Industriebrachen aus DDR-Zeiten, sogenannte Konversionsflächen hier bei uns in Brandenburg haben sich über Jahrzehnte zu echten Naturparadiesen entwickelt. Geschützte, weil oft umzäunte Habitate für alle möglichen Tierarten und urige naturbelassene Wälder. Doch die grüne Klima-Ideologie und die Profitgier von Investoren, die sich durch den Klimawahn der Berliner Ampel die Taschen voll machen können, wollen viele dieser Flächen plattmachen, den Wald roden und die Tiere verjagen oder töten. Die Glücksritter wollen unser schönes Brandenburg mit riesigen Flächen voll kalter, schwarzer Solarpaneele überziehen. Wo Grüne wüten, ist ganz offensichtlich kein Platz für die Natur. Der klimapolitische Sprecher der AfD-Fraktion, Lars Günther, zeigt am Beispiel einer 250 Hektar großen Fläche bei Hohensaaten (MOL), was das für uns alle bedeutet – heute in der BLAUEN RUNDE. Auf Libsyn",Den Wald vor den Grünen retten   Die BLAUE Runde  Ausgabe 84 Alte Kasernengelände  Industriebrachen aus DDRZeiten  sogenannte Konversionsflächen hier bei uns in Brandenburg haben sich über Jahrzehnte zu echten Naturparadiesen entwickelt  Geschützte  weil oft umzäunte Habitate für alle möglichen Tierarten und urige naturbelassene Wälder  Doch die grüne KlimaIdeologie und die Profitgier von Investoren  die sich durch den Klimawahn der Berliner Ampel die Taschen voll machen können  wollen viele dieser Flächen plattmachen  den Wald roden und die Tiere verjagen oder töten  Die Glücksritter wollen unser schönes Brandenburg mit riesigen Flächen voll kalter  schwarzer Solarpaneele überziehen  Wo Grüne wüten  ist ganz offensichtlich kein Platz für die Natur  Der klimapolitische Sprecher der AfDFraktion  Lars Günther  zeigt am Beispiel einer 250 Hektar großen Fläche bei Hohensaaten  MOL   was das für uns alle bedeutet – heute in der BLAUEN RUNDE  Auf Libsyn,137
125,1326276537,2023-10-05,"Standortwahl für Videoüberwachung verbessern! Viele Veränderungen im Brandenburgischen Polizeigesetz haben sich als positiv herausgestellt. Wilko Möller erklärt, warum bei den Regelungen zur Videoüberwachung allerdings noch nachgebessert werden muss.",Standortwahl für Videoüberwachung verbessern  Viele Veränderungen im Brandenburgischen Polizeigesetz haben sich als positiv herausgestellt  Wilko Möller erklärt  warum bei den Regelungen zur Videoüberwachung allerdings noch nachgebessert werden muss,28
126,1326276537,2023-10-04,"Arbeitsbedingungen verbessern, Fachkräfte binden! Trotz Massenzuwanderung melden immer mehr Wirtschaftsbranchen einen Mangel an Fachkräften. Peter Drenske klärt über die Ursachen dieser Entwicklung auf.",Arbeitsbedingungen verbessern  Fachkräfte binden  Trotz Massenzuwanderung melden immer mehr Wirtschaftsbranchen einen Mangel an Fachkräften  Peter Drenske klärt über die Ursachen dieser Entwicklung auf,23
127,1326276537,2023-09-27,"Grenzkontrollen längst überfällig! Seit Wochen läuft ein Überbietungswettbewerb in dem es darum geht, Positionen der AfD-Fraktion zu übernehmen. Insbesondere von der CDU ist nun immer öfter von Grenzkontrollen, Abschiebungen und Zurückweisungen zu hören. Lena Kotré erklärt, warum solche Forderungen von Vertretern der Altparteien nicht sonderlich glaubwürdig sind.",Grenzkontrollen längst überfällig  Seit Wochen läuft ein Überbietungswettbewerb in dem es darum geht  Positionen der AfDFraktion zu übernehmen  Insbesondere von der CDU ist nun immer öfter von Grenzkontrollen  Abschiebungen und Zurückweisungen zu hören  Lena Kotré erklärt  warum solche Forderungen von Vertretern der Altparteien nicht sonderlich glaubwürdig sind,47
128,1326276537,2023-09-27,"Wie wir den Erziehermangel beheben werden! Nicht nur Brandenburgs Schulsystem steckt in einer tiefen Krise. Auch an den Kitas fehlt Personal. Als zuständiger Minister für Bildung, Jugend und Sport bleibt Steffen Freiberg (SPD) überzeugende Antworten schuldig. Dafür nennt Dennis Hohloch Möglichkeiten zur Überwindung der Kita-Krise.",Wie wir den Erziehermangel beheben werden  Nicht nur Brandenburgs Schulsystem steckt in einer tiefen Krise  Auch an den Kitas fehlt Personal  Als zuständiger Minister für Bildung  Jugend und Sport bleibt Steffen Freiberg  SPD  überzeugende Antworten schuldig  Dafür nennt Dennis Hohloch Möglichkeiten zur Überwindung der KitaKrise,45
129,1326276537,2023-09-26,"Arztkosten: 50 Mio. € für Asylbewerber Wie eine Antwort der Landesregierung auf eine Anfrage der Abgeordneten Dr. Daniela Oeynhausen und Volker Nothing zu Tage förderte, sind in den letzten Jahren die Kosten für medizinische Behandlungen von Asylbewerbern stark gestiegen.",Arztkosten  50 Mio € für Asylbewerber Wie eine Antwort der Landesregierung auf eine Anfrage der Abgeordneten Dr Daniela Oeynhausen und Volker Nothing zu Tage förderte  sind in den letzten Jahren die Kosten für medizinische Behandlungen von Asylbewerbern stark gestiegen,39
130,1326276537,2023-09-22,"Habecks Heizungshammer: finanzielle Abwärtsspirale   Daniel Münschke macht in der Aktuellen Stunde des Landtages deutlich, dass das sogenannte Gebäudeenergiegesetz nicht nur extreme finanzielle Belastungen für Privathaushalte, Immobilienbesitzer und Kommunen bedeutet: Auch der Wohnungsbau wird sich massiv verteuern und der Mangel an Handwerkern wird sich verschärfen. Zudem greift das Gesetz auch noch massiv in das Eigentumsrecht der Menschen ein und schränkt die garantierte kommunale Selbstverwaltung ein. „Es ist ein Gesetz, das unsere Bürger und unsere Städte in eine finanzielle Abwärtsspirale stürzen wird“, so Daniel Münschke.",Habecks Heizungshammer  finanzielle Abwärtsspirale   Daniel Münschke macht in der Aktuellen Stunde des Landtages deutlich  dass das sogenannte Gebäudeenergiegesetz nicht nur extreme finanzielle Belastungen für Privathaushalte  Immobilienbesitzer und Kommunen bedeutet  Auch der Wohnungsbau wird sich massiv verteuern und der Mangel an Handwerkern wird sich verschärfen  Zudem greift das Gesetz auch noch massiv in das Eigentumsrecht der Menschen ein und schränkt die garantierte kommunale Selbstverwaltung ein  „ Es ist ein Gesetz  das unsere Bürger und unsere Städte in eine finanzielle Abwärtsspirale stürzen wird “  so Daniel Münschke,85
131,1326276537,2023-09-14,"Firmen: Nachfolger gesucht In Brandenburg gibt es aktuell 73.000 Unternehmen, der Inhaber älter als 55 Jahre sind. Bislang fehlt eine überzeugende Lösung für die Nachfolgeproblematik. Steffen John stellt hier Möglichkeiten vor, wie Unternehmensnachfolge leichter gemacht werden kann.",Firmen  Nachfolger gesucht In Brandenburg gibt es aktuell 73000 Unternehmen  der Inhaber älter als 55 Jahre sind  Bislang fehlt eine überzeugende Lösung für die Nachfolgeproblematik  Steffen John stellt hier Möglichkeiten vor  wie Unternehmensnachfolge leichter gemacht werden kann,37
132,1326276537,2023-09-13,"Habecks „Heizungshammer“ stoppen!   Das sogenannte Gebäudeenergiegesetz ist ein geistloser und brutaler Angriff auf die Freiheit und das Eigentum der Bürger. Dr. Christoph Berndt zeigt eine Möglichkeit auf, wie das Gesetz noch gestoppt werden könnte.",Habecks „ Heizungshammer “ stoppen    Das sogenannte Gebäudeenergiegesetz ist ein geistloser und brutaler Angriff auf die Freiheit und das Eigentum der Bürger  Dr Christoph Berndt zeigt eine Möglichkeit auf  wie das Gesetz noch gestoppt werden könnte,36
