,url,date,author,text,text_tokenised
171,"https://afdbundestag.de/hilse-grimms-maerchenwald-statt-hambacher-forst/
",2018-09-17,Hilse,"Selbst wenn man an das CO2-Klimamärchen glaubt, spart Windenergie kein einziges konventionelles Kraftwerk ein. Die Rodungen zugunsten von Windkraft-Unbilden, deren größter Teil, die riesigen Betonfundamente, noch nicht einmal sichtbar ist, sind also völlig überflüssig.","CO2-Klimamärchen glaubt , spart Windenergie einziges konventionelles Kraftwerk . Rodungen zugunsten Windkraft-Unbilden , größter , riesigen Betonfundamente , sichtbar , völlig überflüssig ."
172,"https://afdbundestag.de/chrupalla-kohle-kommission-gefaehrdet-arbeitsplaetze-in-der-lausitz/
",2018-09-18,Chrupalla,"Kohle-Kommission gefährdet Arbeitsplätze in der Lausitz Berlin, 18. September 2018.","Kohle-Kommission gefährdet Arbeitsplätze Lausitz Berlin , 18. September 2018."
173,"https://afdbundestag.de/chrupalla-kohle-kommission-gefaehrdet-arbeitsplaetze-in-der-lausitz/
",2018-09-18,Chrupalla,"Laut einem Bericht des SPIEGEL vom 15.09.2018 hat Ronald Pofalla, Co-Vorsitzender der Kohle-Kommission und ehemaliger Chef des Bundeskanzleramtes, verkündet, dass sich innerhalb der Kommission ein Kompromiss über den Ausstieg aus der Braunkohleverstromung bis 2038 abzeichne.","Laut Bericht SPIEGEL 15.09.2018 Ronald Pofalla , Co-Vorsitzender Kohle-Kommission ehemaliger Chef Bundeskanzleramtes , verkündet , innerhalb Kommission Kompromiss Ausstieg Braunkohleverstromung 2038 abzeichne ."
174,"https://afdbundestag.de/chrupalla-kohle-kommission-gefaehrdet-arbeitsplaetze-in-der-lausitz/
",2018-09-18,Chrupalla,"Ferner sei geplant, Kohlekraftwerke mit einer Leistung von insgesamt fünf bis sieben Gigawattstunden bis 2020 vom Netz zu nehmen. Mitglieder der Kommission sind über diese Äußerungen empört, da ihnen keine Einigung bekannt ist.","Ferner geplant , Kohlekraftwerke Leistung insgesamt Gigawattstunden 2020 Netz nehmen . Mitglieder Kommission Äußerungen empört , Einigung ."
175,"https://afdbundestag.de/chrupalla-kohle-kommission-gefaehrdet-arbeitsplaetze-in-der-lausitz/
",2018-09-18,Chrupalla,"Das präferierte Sofortprogramm, Kohlekraftwerke mit einer Leistung von insgesamt fünf bis sieben Gigawatt bis 2020 vom Netz zu nehmen, hätte enorme Konsequenzen für die Lausitz: unter anderem wäre mit einem Wegfall von mehreren tausend Arbeitsplätzen und einer weiteren Bevölkerungsabwanderung zu rechnen.","präferierte Sofortprogramm , Kohlekraftwerke Leistung insgesamt Gigawatt 2020 Netz nehmen , enorme Konsequenzen Lausitz : Wegfall mehreren tausend Arbeitsplätzen Bevölkerungsabwanderung rechnen ."
176,"https://afdbundestag.de/chrupalla-kohle-kommission-gefaehrdet-arbeitsplaetze-in-der-lausitz/
",2018-09-18,Chrupalla,"Deutschlands Technologien für die saubere Kohleverstromung sind Weltspitze. Es gibt derzeit keinen Grund, sich auf Kosten aller betroffenen Kohlereviere in Deutschland, natürlich insbesondere der Lausitz, ihrer fleißigen Facharbeiter und innovativen Ingenieure, moralisch erpressen zu lassen.“","Deutschlands Technologien saubere Kohleverstromung Weltspitze . derzeit Grund , Kosten betroffenen Kohlereviere Deutschland , insbesondere Lausitz , fleißigen Facharbeiter innovativen Ingenieure , moralisch erpressen lassen . “"
177,"https://afdbundestag.de/spaniel-gruene-wollen-individuelles-eigentum-von-fahrzeugen-radikal-unterbinden/
",2018-09-19,Spaniel,"Spaniel will deshalb die Produktion in Deutschland erhalten und vergleicht die Verkehrswende mit dem Atomausstieg: „Die Grünen begehen damit denselben Fehler ein zweites Mal. Jeder vernünftige Mensch weiß, dass die überstürzte sowie undurchdachte Politik dem Standort und der Wirtschaft maximal schadet.","Spaniel Produktion Deutschland erhalten vergleicht Verkehrswende Atomausstieg : „ Grünen begehen Fehler Mal . vernünftige Mensch weiß , überstürzte undurchdachte Politik Standort Wirtschaft maximal schadet ."
178,"https://afdbundestag.de/kotre-kohlekommission-aufloesen/
",2018-09-26,Kotré,"Kohlekommission auflösen! Berlin, 26. September 2018. Zur Kohlekommission erklärt unser Mitglied im Ausschuss für Wirtschaft und Energie, Steffen Kotré: „Die Bundesregierung muss die Kohlekommission auflösen, um glaubwürdig zu bleiben.","Kohlekommission auflösen ! Berlin , 26. September 2018. Kohlekommission erklärt Mitglied Ausschuss Wirtschaft Energie , Steffen Kotré : „ Bundesregierung Kohlekommission auflösen , glaubwürdig bleiben ."
179,"https://afdbundestag.de/kotre-kohlekommission-aufloesen/
",2018-09-26,Kotré,"Wenn Mitglieder dieser Kommission Baumpatenschaften für den Hambacher Forst übernommen haben, dann missachten sie Recht und Gesetz. Die Entscheidung, dort Kohle zu fördern, ist durch alle Gerichtsinstanzen als zulässig entschieden worden.","Mitglieder Kommission Baumpatenschaften Hambacher Forst übernommen , missachten Gesetz . Entscheidung , Kohle fördern , Gerichtsinstanzen zulässig entschieden ."
180,"https://afdbundestag.de/kotre-kohlekommission-aufloesen/
",2018-09-26,Kotré,"Darüber hinaus trägt die Verstromung von Kohle nach dem Ausstieg aus der Kernenergie zur gesicherten Stromversorgung bei. Auf meine erste Anfrage an die Bundesregierung ließ diese verlauten, dass sie keine Stellungnahme abgibt.","hinaus trägt Verstromung Kohle Ausstieg Kernenergie gesicherten Stromversorgung . Anfrage Bundesregierung ließ verlauten , Stellungnahme abgibt ."
